category,en
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
水果,fruit
交通工具,transport
动物,animal
饮料,drink
乐器,instrument
运动,sport
国家,country
城市,city
颜色,color
职业,job
服装,clothing
植物,plant
食品,food
家具,furniture
家电,appliance
天气,weather
建筑,building
交通方式,vehicle
文学,literature
电影,movie
节日,festival
科技,technology
游戏,game
学校,school
学科,subject
身体部位,body part
形状,shape
海洋生物,marine creature
昆虫,insect
鸟类,bird
宝石,gem
星座,zodiac
行星,planet
语言,language
历史人物,historical figure
神话人物,mythical figure
书籍,book
音乐,music
舞蹈,dance
菜肴,dish
